Tecnologia;Año;Escenario;Produccion_MWh
PetroleoDiesel;2026;5;23.110.958.263.930.500
PetroleoDiesel;2027;1;2.660.073.726.742.420
PetroleoDiesel;2027;2;25.830.078.226.688.800
PetroleoDiesel;2027;3;25.623.597.855.265.200
PetroleoDiesel;2027;4;23.375.124.493.384.400
PetroleoDiesel;2027;5;27.387.174.302.273.600
PetroleoDiesel;2028;1;2.903.829.909.522.430
PetroleoDiesel;2028;2;2.764.236.483.708.750
PetroleoDiesel;2028;3;28.623.466.983.386.800
PetroleoDiesel;2028;4;2.749.653.211.730.000
PetroleoDiesel;2028;5;2.927.718.621.577.040
PetroleoDiesel;2029;1;29.879.994.108.567.500
PetroleoDiesel;2029;2;29.088.718.002.740.200
PetroleoDiesel;2029;3;330.262.220.041.234
PetroleoDiesel;2029;4;29.528.265.007.174.200
PetroleoDiesel;2029;5;29.562.108.397.073.200
PetroleoDiesel;2030;1;330.618.511.957.283
PetroleoDiesel;2030;2;3.165.885.925.762.890
PetroleoDiesel;2030;3;3.504.000.976.452.450
PetroleoDiesel;2030;4;3.269.116.455.479.890
PetroleoDiesel;2030;5;3.277.097.177.991.550
Solar;2021;1;6,40E+21
Solar;2021;2;1,01E+23
Solar;2021;3;7,05E+21
Solar;2021;4;1,37E+23
Solar;2021;5;6,02E+21
Solar;2022;1;6,57E+21
Solar;2022;2;1,03E+23
Solar;2022;3;7,22E+21
Solar;2022;4;1,38E+23
Solar;2022;5;6,19E+21
Solar;2023;1;5,84E+21
Solar;2023;2;9,56E+21
Solar;2023;3;6,48E+21
Solar;2023;4;1,31E+23
Solar;2023;5;5,45E+22
Solar;2024;1;5,84E+21
Solar;2024;2;9,56E+21
Solar;2024;3;6,48E+21
Solar;2024;4;1,31E+23
Solar;2024;5;5,45E+15
Solar;2025;1;5,84E+21
Solar;2025;2;9,56E+21
Solar;2025;3;6,48E+21
Solar;2025;4;1,31E+22
Solar;2025;5;5,45E+15
Solar;2026;1;5,84E+21
Solar;2026;2;9,56E+21
Solar;2026;3;6,48E+21
Solar;2026;4;1,31E+23
Solar;2026;5;5,45E+15
Solar;2027;1;5,84E+21
Solar;2027;2;9,56E+21
Solar;2027;3;6,48E+21
Solar;2027;4;1,31E+23
Solar;2027;5;5,45E+22
Solar;2028;1;5,84E+21
Solar;2028;2;9,56E+21
Solar;2028;3;6,48E+21
Solar;2028;4;1,31E+22
Solar;2028;5;5,45E+22
Solar;2029;1;5,84E+22
Solar;2029;2;9,56E+21
Solar;2029;3;6,48E+21
Solar;2029;4;1,31E+23
Solar;2029;5;5,45E+22
Solar;2030;1;5,84E+21
Solar;2030;2;9,56E+21
Solar;2030;3;6,48E+21
Solar;2030;4;1,31E+23
Solar;2030;5;5,45E+22
