tabla,fila,magnitud,modelo,c,P,CAP,publicado,replicado,dif_relativa,veredicto,estado_solver,linea_tex
efectocapthetapia,7:700M,pi_a,profit_oriented,9.2e8,0.8,7e+08,56.37,56.37149759390407,2.7e-05,coincide,A stationary point was found,546
efectocapthetapia,8:800M,theta,profit_oriented,9.2e11,0.8,8e+08,961600000.0,961600000.0,0.0,coincide,A stationary point was found,547
efectocapthetapia,8:800M,ratio,profit_oriented,9.2e11,0.8,8e+08,1.2,1.202,0.001667,coincide,A stationary point was found,547
efectocapthetapia,8:800M,pi_a,profit_oriented,9.2e11,0.8,8e+08,152.5,48.76460612297072,-0.680232,difiere,A stationary point was found,547
efectocapthetapia,8:800M,theta,profit_oriented,9.2e8,0.8,8e+08,961600000.0,961600000.0000001,0.0,coincide,A stationary point was found,547
efectocapthetapia,8:800M,ratio,profit_oriented,9.2e8,0.8,8e+08,1.2,1.2020000000000002,0.001667,coincide,A stationary point was found,547
efectocapthetapia,8:800M,pi_a,profit_oriented,9.2e8,0.8,8e+08,152.5,48.764606122970704,-0.680232,difiere,A stationary point was found,547
efectocapthetapia,9:900M,theta,profit_oriented,9.2e11,0.8,9e+08,605279899.0,1081800000.0,0.787272,difiere,A stationary point was found,548
efectocapthetapia,9:900M,ratio,profit_oriented,9.2e11,0.8,9e+08,0.67,1.202,0.79403,difiere,A stationary point was found,548
efectocapthetapia,9:900M,pi_a,profit_oriented,9.2e11,0.8,9e+08,42.26,42.260117507549936,3e-06,coincide,A stationary point was found,548
efectocapthetapia,9:900M,theta,profit_oriented,9.2e8,0.8,9e+08,605279899.0,1081800000.0,0.787272,difiere,A stationary point was found,548
efectocapthetapia,9:900M,ratio,profit_oriented,9.2e8,0.8,9e+08,0.67,1.202,0.79403,difiere,A stationary point was found,548
efectocapthetapia,9:900M,pi_a,profit_oriented,9.2e8,0.8,9e+08,42.26,42.26011750754999,3e-06,coincide,A stationary point was found,548
efectocapthetapia,"10:1,000M",theta,profit_oriented,9.2e11,0.8,1e+09,605279899.0,1202000000.0,0.985858,difiere,A stationary point was found,549
efectocapthetapia,"10:1,000M",ratio,profit_oriented,9.2e11,0.8,1e+09,0.61,1.202,0.970492,difiere,A stationary point was found,549
efectocapthetapia,"10:1,000M",pi_a,profit_oriented,9.2e11,0.8,1e+09,35.98,35.98387073034978,0.000108,coincide,A stationary point was found,549
efectocapthetapia,"10:1,000M",theta,profit_oriented,9.2e8,0.8,1e+09,605279899.0,1202000000.0,0.985858,difiere,A stationary point was found,549
efectocapthetapia,"10:1,000M",ratio,profit_oriented,9.2e8,0.8,1e+09,0.61,1.202,0.970492,difiere,A stationary point was found,549
efectocapthetapia,"10:1,000M",pi_a,profit_oriented,9.2e8,0.8,1e+09,35.98,35.98387073034978,0.000108,coincide,A stationary point was found,549
resultadostasacuadrada,"1:100,000,000",theta,quadratic_rate,9.9e9,,1e+08,144944410.0,192419635.90656185,0.327541,difiere,A stationary point was found,692
resultadostasacuadrada,"1:100,000,000",rend,quadratic_rate,9.9e9,,1e+08,0.798,0.14586108988985436,-0.817217,difiere,A stationary point was found,692
resultadostasacuadrada,"1:100,000,000",ratio,quadratic_rate,9.9e9,,1e+08,1.449,1.9241963590656186,0.327948,difiere,A stationary point was found,692
resultadostasacuadrada,"1:100,000,000",pi_a,quadratic_rate,9.9e9,,1e+08,232.82,148.36017057314058,-0.362769,difiere,A stationary point was found,692
resultadostasacuadrada,"2:200,000,000",theta,quadratic_rate,9.9e9,,2e+08,289888820.0,317387889.9379955,0.094861,difiere,A stationary point was found,693
resultadostasacuadrada,"2:200,000,000",rend,quadratic_rate,9.9e9,,2e+08,0.798,0.6555020823976264,-0.178569,difiere,A stationary point was found,693
resultadostasacuadrada,"2:200,000,000",ratio,quadratic_rate,9.9e9,,2e+08,1.449,1.5869394496899776,0.095196,difiere,A stationary point was found,693
resultadostasacuadrada,"2:200,000,000",pi_a,quadratic_rate,9.9e9,,2e+08,141.56,41.72448444120717,-0.705252,difiere,A stationary point was found,693
resultadostasacuadrada,"3:300,000,000",theta,quadratic_rate,9.9e9,,3e+08,434833230.0,377423927.05732906,-0.132026,difiere,A stationary point was found,694
resultadostasacuadrada,"3:300,000,000",rend,quadratic_rate,9.9e9,,3e+08,0.798,0.9333948391002377,0.169668,difiere,A stationary point was found,694
resultadostasacuadrada,"3:300,000,000",ratio,quadratic_rate,9.9e9,,3e+08,1.449,1.2580797568577635,-0.13176,difiere,A stationary point was found,694
resultadostasacuadrada,"3:300,000,000",pi_a,quadratic_rate,9.9e9,,3e+08,103.33,59.437196880366976,-0.424783,difiere,A stationary point was found,694
resultadostasacuadrada,"4:400,000,000",theta,quadratic_rate,9.9e9,,4e+08,579777640.0,579777640.4339538,0.0,coincide,A stationary point was found,695
resultadostasacuadrada,"4:400,000,000",rend,quadratic_rate,9.9e9,,4e+08,0.798,0.7980000000000003,0.0,coincide,A stationary point was found,695
resultadostasacuadrada,"4:400,000,000",ratio,quadratic_rate,9.9e9,,4e+08,1.449,1.4494441010848844,0.000306,coincide,A stationary point was found,695
resultadostasacuadrada,"5:500,000,000",theta,quadratic_rate,9.9e9,,5e+08,653754577.0,477099195.8680403,-0.270217,difiere,A stationary point was found,696
resultadostasacuadrada,"5:500,000,000",rend,quadratic_rate,9.9e9,,5e+08,0.905,0.9979022126804384,0.102654,difiere,A stationary point was found,696
resultadostasacuadrada,"5:500,000,000",ratio,quadratic_rate,9.9e9,,5e+08,1.308,0.9541983917360807,-0.270491,difiere,A stationary point was found,696
resultadostasacuadrada,"5:500,000,000",pi_a,quadratic_rate,9.9e9,,5e+08,37.27,52.49414396339956,0.408483,difiere,A stationary point was found,696
resultadostasacuadrada,"6:600,000,000",theta,quadratic_rate,9.9e9,,6e+08,619939821.0,562391612.2591407,-0.092829,difiere,A stationary point was found,697
resultadostasacuadrada,"6:600,000,000",rend,quadratic_rate,9.9e9,,6e+08,0.999,0.9960711365875922,-0.002932,coincide,A stationary point was found,697
resultadostasacuadrada,"6:600,000,000",ratio,quadratic_rate,9.9e9,,6e+08,1.033,0.9373193537652346,-0.092624,difiere,A stationary point was found,697
resultadostasacuadrada,"6:600,000,000",pi_a,quadratic_rate,9.9e9,,6e+08,40.43,45.42997298330282,0.12367,difiere,A stationary point was found,697
resultadostasacuadrada,"7:700,000,000",theta,quadratic_rate,9.9e9,,7e+08,661258561.0,621451022.5587277,-0.0602,difiere,A stationary point was found,698
resultadostasacuadrada,"7:700,000,000",rend,quadratic_rate,9.9e9,,7e+08,0.997,0.9874082819243479,-0.009621,difiere,A stationary point was found,698
resultadostasacuadrada,"7:700,000,000",ratio,quadratic_rate,9.9e9,,7e+08,0.945,0.8877871750838968,-0.060543,difiere,A stationary point was found,698
resultadostasacuadrada,"7:700,000,000",pi_a,quadratic_rate,9.9e9,,7e+08,36.42,41.39899199525499,0.13671,difiere,A stationary point was found,698
resultadostasacuadrada,"8:800,000,000",theta,quadratic_rate,9.9e9,,8e+08,610913181.0,1809787024.6375222,1.962429,difiere,A stationary point was found,699
resultadostasacuadrada,"8:800,000,000",rend,quadratic_rate,9.9e9,,8e+08,0.944,-0.5932341173848439,-1.628426,difiere,A stationary point was found,699
resultadostasacuadrada,"8:800,000,000",ratio,quadratic_rate,9.9e9,,8e+08,0.764,2.262233780796903,1.961039,difiere,A stationary point was found,699
resultadostasacuadrada,"8:800,000,000",pi_a,quadratic_rate,9.9e9,,8e+08,31.28,34.35300773364803,0.098242,difiere,A stationary point was found,699
resultadostasacuadrada,"9:900,000,000",theta,quadratic_rate,9.9e9,,9e+08,609127279.0,665826024.9379319,0.093082,difiere,A stationary point was found,700
resultadostasacuadrada,"9:900,000,000",rend,quadratic_rate,9.9e9,,9e+08,0.896,0.9322994437081851,0.040513,difiere,A stationary point was found,700
resultadostasacuadrada,"9:900,000,000",ratio,quadratic_rate,9.9e9,,9e+08,0.677,0.7398066943754799,0.092772,difiere,A stationary point was found,700
resultadostasacuadrada,"9:900,000,000",pi_a,quadratic_rate,9.9e9,,9e+08,31.21,38.351212179788064,0.228812,difiere,A stationary point was found,700
resultadostasacuadrada,"10:1,000,000,000",theta,quadratic_rate,9.9e9,,1e+09,698676376.0,673021852.4550347,-0.036719,difiere,A stationary point was found,701
resultadostasacuadrada,"10:1,000,000,000",rend,quadratic_rate,9.9e9,,1e+09,0.909,0.8930852910280629,-0.017508,difiere,A stationary point was found,701
resultadostasacuadrada,"10:1,000,000,000",ratio,quadratic_rate,9.9e9,,1e+09,0.699,0.6730218524550348,-0.037165,difiere,A stationary point was found,701
resultadostasacuadrada,"10:1,000,000,000",pi_a,quadratic_rate,9.9e9,,1e+09,30.0,34.81053825793788,0.160351,difiere,A stationary point was found,701
resultadosprecision,"1:100,000,000",theta,precision,4e6,,1e+08,120200000.0,167171060.26233375,0.390774,difiere,Cumulative minor iterlim met,886
resultadosprecision,"1:100,000,000",rend,precision,4e6,,1e+08,0.798,1.4697106026267668,0.841743,difiere,Cumulative minor iterlim met,886
resultadosprecision,"1:100,000,000",ratio,precision,4e6,,1e+08,1.202,1.6717106026233375,0.390774,difiere,Cumulative minor iterlim met,886
