archivo,linea,tipo,etiqueta_latex,titulo,fila,columna,valor_crudo,valor
inattention_energy_prices.tex,548,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,9:900M,3,42.26,42.26
inattention_energy_prices.tex,549,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,"10:1,000M",0,"1,000",1000.0
inattention_energy_prices.tex,549,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,"10:1,000M",1,"605,279,899",605279899.0
inattention_energy_prices.tex,549,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,"10:1,000M",2,0.61,0.61
inattention_energy_prices.tex,549,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,"10:1,000M",3,35.98,35.98
inattention_energy_prices.tex,664,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,0:CAP,1,100,100.0
inattention_energy_prices.tex,664,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,0:CAP,2,200,200.0
inattention_energy_prices.tex,664,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,0:CAP,3,300,300.0
inattention_energy_prices.tex,664,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,0:CAP,4,400,400.0
inattention_energy_prices.tex,664,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,0:CAP,5,500,500.0
inattention_energy_prices.tex,664,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,0:CAP,6,600,600.0
inattention_energy_prices.tex,664,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,0:CAP,7,700,700.0
inattention_energy_prices.tex,664,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,0:CAP,8,800,800.0
inattention_energy_prices.tex,664,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,0:CAP,9,900,900.0
inattention_energy_prices.tex,664,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,0:CAP,10,1000,1000.0
inattention_energy_prices.tex,665,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,1:,1,120,120.0
inattention_energy_prices.tex,665,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,1:,2,240,240.0
inattention_energy_prices.tex,665,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,1:,3,361,361.0
inattention_energy_prices.tex,665,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,1:,4,455,455.0
inattention_energy_prices.tex,665,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,1:,5,601,601.0
inattention_energy_prices.tex,665,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,1:,6,605,605.0
inattention_energy_prices.tex,665,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,1:,7,605,605.0
inattention_energy_prices.tex,665,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,1:,8,961,961.0
inattention_energy_prices.tex,665,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,1:,9,605,605.0
inattention_energy_prices.tex,665,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,1:,10,605,605.0
inattention_energy_prices.tex,666,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,2:^d,1,264.03,264.03
inattention_energy_prices.tex,666,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,2:^d,2,119.37,119.37
inattention_energy_prices.tex,666,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,2:^d,3,136.85,136.85
inattention_energy_prices.tex,666,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,2:^d,4,95.39,95.39
inattention_energy_prices.tex,666,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,2:^d,5,102.94,102.94
inattention_energy_prices.tex,666,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,2:^d,6,83.32,83.32
inattention_energy_prices.tex,666,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,2:^d,7,83.32,83.32
inattention_energy_prices.tex,666,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,2:^d,8,174.56,174.56
inattention_energy_prices.tex,666,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,2:^d,9,83.32,83.32
inattention_energy_prices.tex,666,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,2:^d,10,83.32,83.32
inattention_energy_prices.tex,692,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"1:100,000,000",0,"100,000,000",100000000.0
inattention_energy_prices.tex,692,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"1:100,000,000",1,"144,944,410",144944410.0
inattention_energy_prices.tex,692,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"1:100,000,000",2,0.798,0.798
inattention_energy_prices.tex,692,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"1:100,000,000",3,1.449,1.449
inattention_energy_prices.tex,692,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"1:100,000,000",4,232.82,232.82
