modelo,P,cm,CAP,estado,estado_crudo,theta,pi_a,eta,r_p,pi_d_2018,theta_sobre_CAP,segundos,sustituciones,error,_f
profit_oriented,0.798,9.2e8,1e8,SLOW_PROGRESS,A stationary point was found,1.202000000002819e8,179.82712271182754,0.0,,205.73993508481198,1.202000000002819,86.0,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.798; mean=1e8; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_P0.798_c9.2e8
profit_oriented,0.9,9.2e8,1e8,SLOW_PROGRESS,A stationary point was found,1.202e8,270.1261785588446,0.0,,264.0340286563827,1.202,58.7,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.9; mean=1e8; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_P0.9_c9.2e8
profit_oriented,0.8,9.2e11,6e+08,SLOW_PROGRESS,A stationary point was found,7.212e8,66.57319096733546,0.0,,92.1850192364681,1.202,65.5,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=6e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP6_c9.2e11
profit_oriented,1,9.2e11,1e8,SLOW_PROGRESS,A stationary point was found,1.2011285020169015e8,254868.0329278247,0.0,,277061.87591069716,1.2011285020169016,51.9,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=1; mean=1e8; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_P1_c9.2e11
profit_oriented,0.9,9.2e11,1e8,SLOW_PROGRESS,A stationary point was found,1.202e8,270.1261785588446,0.0,,264.0340286563337,1.202,57.7,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.9; mean=1e8; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_P0.9_c9.2e11
profit_oriented,0.798,9.2e11,1e8,SLOW_PROGRESS,A stationary point was found,1.202000000002819e8,179.82712271182754,0.0,,205.73993508481198,1.202000000002819,66.6,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.798; mean=1e8; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_P0.798_c9.2e11
profit_oriented,0.85,9.2e8,1e8,SLOW_PROGRESS,A stationary point was found,1.202e8,270.1261785588445,0.0,,264.0340286563826,1.202,68.6,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.85; mean=1e8; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_P0.85_c9.2e8
profit_oriented,0.8,9.2e11,4e+08,SLOW_PROGRESS,A stationary point was found,4.8079999999999994e8,95.83339358018387,0.0,,116.88785899303741,1.202,53.4,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=4e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP4_c9.2e11
profit_oriented,0.8,9.2e11,3e+08,SLOW_PROGRESS,A stationary point was found,3.606e8,119.47271861356077,0.0,,136.84528943121714,1.202,51.0,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=3e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP3_c9.2e11
profit_oriented,0.8,9.2e8,9e+08,SLOW_PROGRESS,A stationary point was found,1.0818e9,42.26011750754999,0.0,,71.6587786764301,1.202,50.7,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=9e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP9_c9.2e8
quadratic_rate,,9.9e9,6e+08,SLOW_PROGRESS,A stationary point was found,5.623916122591407e8,45.42997298330282,0.0,,96.44481713578823,0.9373193537652346,99.8,licencia<-PATH_LICENSE_STRING; cm=9.9e9 (reemplaza el del script); mean=6e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,tc_CAP6
quadratic_rate,,9.9e9,2e+08,SLOW_PROGRESS,A stationary point was found,3.173878899379955e8,41.72448444120717,0.0,,101.06149046154326,1.5869394496899776,138.4,licencia<-PATH_LICENSE_STRING; cm=9.9e9 (reemplaza el del script); mean=2e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,tc_CAP2
profit_oriented,1,9.2e8,1e8,SLOW_PROGRESS,A stationary point was found,1.202e8,270.1261785588446,0.0,,264.0340286563826,1.202,104.7,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=1; mean=1e8; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_P1_c9.2e8
quadratic_rate,,9.9e9,1e+09,SLOW_PROGRESS,A stationary point was found,6.730218524550347e8,34.81053825793788,0.0,,98.57855618050598,0.6730218524550348,80.7,licencia<-PATH_LICENSE_STRING; cm=9.9e9 (reemplaza el del script); mean=1e+09; convergence_tolerance=1e-8 y limites de iteracion ampliados,,tc_CAP10
profit_oriented,0.8,9.2e8,4e+08,SLOW_PROGRESS,A stationary point was found,4.808e8,95.83339358018384,0.0,,116.88785899303738,1.202,51.0,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=4e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP4_c9.2e8
quadratic_rate,,9.9e9,1e+08,SLOW_PROGRESS,A stationary point was found,1.9241963590656185e8,148.36017057314058,0.0,,142.28205085624683,1.9241963590656186,82.3,licencia<-PATH_LICENSE_STRING; cm=9.9e9 (reemplaza el del script); mean=1e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,tc_CAP1
profit_oriented,0.8,9.2e11,8e+08,SLOW_PROGRESS,A stationary point was found,9.616e8,48.76460612297072,0.0,,77.15017400581897,1.202,63.5,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=8e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP8_c9.2e11
precision,,4e6,6e+08,SLOW_PROGRESS,A stationary point was found,7.05876305309722e8,35.45415330628745,0.0,1.2119999637449124e8,85.36258056013958,1.1764605088495366,81.6,licencia<-PATH_LICENSE_STRING; cm=4e6 (reemplaza el del script); mean=6e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,pm_CAP6
precision,,4e6,4e+08,SLOW_PROGRESS,A stationary point was found,6.431088725762625e8,50.15882768390606,0.0,2.4310887257626334e8,92.03766791953903,1.6077721814406563,74.6,licencia<-PATH_LICENSE_STRING; cm=4e6 (reemplaza el del script); mean=4e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,pm_CAP4
precision,,4e6,8e+08,SLOW_PROGRESS,A stationary point was found,8.579882663110104e8,25.621563244611025,0.0,1.6159999759171137e8,76.18610431898324,1.072485332888763,74.6,licencia<-PATH_LICENSE_STRING; cm=4e6 (reemplaza el del script); mean=8e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,pm_CAP8
profit_oriented,0.8,9.2e11,1e+08,SLOW_PROGRESS,A stationary point was found,1.202e8,270.12617855884446,5.908336798357059e-24,,264.0340286563825,1.202,54.4,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=1e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP1_c9.2e11
